0113828,"Les misérables ",1995,"Claude Lelouch", "7.5"
0113845,"Money Train ",1995,"Joseph Ruben", "5.6"
0113851,"Moonlight and Valentino ",1995,"David Anspaugh", "5.8"
0113855,"Mortal Kombat ",1995,"Paul W.S. Anderson", "5.8"
0113862,"Mr. Holland's Opus ",1995,"Stephen Herek", "7.3"
0113870,"Murder in the First ",1995,"Marc Rocco", "7.3"
0113896,"My Family ",1995,"Gregory Nava", "7.3"
0113948,"Nemesis 2: Nebula ",Video 1995,"Albert Pyun", "4.7"
0113952,"The Neon Bible ",1995,"Terence Davies", "6.2"
0113957,"The Net ",1995,"Irwin Winkler", "5.9"
0113967,"New Jersey Drive ",1995,"Nick Gomez", "6.7"
0113972,"Nick of Time ",1995,"John Badham", "6.3"
0113973,"Nico Icon ",1995,"Susanne Ofteringer", "7.3"
0113986,"Nine Months ",1995,"Chris Columbus", "5.5"
0113987,"Nixon ",1995,"Oliver Stone", "7.1"
0114011,"Now and Then ",1995,"Lesli Linka Glatter", "6.8"
0114015,"Nueba Yol ",1995,"Ángel Muñiz", "7.1"
0114039,"Once Upon a Time... When We Were Colored ",1995,"Tim Reid", "7.2"
0114057,"Othello ",1995,"Oliver Parker", "6.9"
0114069,"Outbreak ",1995,"Wolfgang Petersen", "6.6"
0114084,"Panther ",1995,"Mario Van Peebles", "6.4"
0114095,"Party Girl ",1995,"Daisy von Scherler Mayer", "6.6"
0114113,"The Perez Family ",1995,"Mira Nair", "6.1"
0114117,"&quot;Screen Two&quot; Persuasion ",TV Episode 1995,"Roger Michell", "7.7"
0114129,"Picture Bride ",1994,"Kayo Hatta", "6.7"
0114131,"Pie in the Sky ",1995,"Bryan Gordon", "5.8"
0114148,"Pocahontas ",1995,"Mike Gabriel, Eric Goldberg", "6.7"
0114151,"Poison Ivy II ",1996,"Anne Goursaud", "4.4"
0114168,"Powder ",1995,"Victor Salva", "6.6"
0114194,"The Prophecy ",1995,"Gregory Widen", "6.5"
0114210,"A Pyromaniac's Love Story ",1995,"Joshua Brand", "5.4"
0114214,"The Quick and the Dead ",1995,"Sam Raimi", "6.4"
